a52dec 0.8.0-2
nm-connection-editor 1.36.0-1
node-gyp 10.1.0-2
nodejs 21.7.3-1
nodejs-nopt 7.2.0-1
npm 10.5.2-1
npth 1.7-1
nspr 4.35-2
nss 3.99-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p17-1
nvidia 550.78-1
nvidia-settings 550.78-1
nvidia-utils 550.78-1
ocl-icd 2.3.2-1
oniguruma 6.9.9-1
opencl-nvidia 550.78-1
opencore-amr 0.1.6-1
openexr 3.2.4-1
openjpeg2 2.5.2-1
openssh 9.7p1-2
openssl 3.3.0-1
openssl-1.1 1.1.1.w-1
opus 1.5.2-1
orc 0.4.38-1
p11-kit 0.25.3-1
pacman 6.1.0-3
pacman-mirrorlist 20231001-1
pahole 1:1.26-2
pam 1.6.1-2
pambase 20230918-1
pamixer 1.6-3
pango 1:1.52.2-1
pangomm 2.46.4-1
parted 3.6-1
patch 2.7.6-10
pavucontrol 1:5.0+r66+gc330506-1
pciutils 3.12.0-1
pcre 8.45-4
pcre2 10.43-4
pcsclite 2.2.0-1
perl 5.38.2-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
picom 11.2-1
pinentry 1.3.0-1
pixman 0.43.4-1
pkgconf 2.1.1-1
playerctl 2.4.1-3
polkit 124-2
poppler 24.03.0-1
poppler-glib 24.03.0-1
popt 1.19-1
portaudio 1:19.7.0-2
postgresql 16.2-2
postgresql-libs 16.2-2
procps-ng 4.0.4-3
psmisc 23.7-1
pulseaudio 17.0-3
pulseaudio-bluetooth 17.0-3
python 3.12.3-1
python-argcomplete 3.1.1-2
python-attrs 23.2.0-3
python-cairo 1.26.0-2
python-cairocffi 1.6.1-2
python-cffi 1.16.0-2
python-charset-normalizer 3.3.2-2
python-click 8.1.7-3
python-cryptography 42.0.5-2
python-distlib 0.3.8-2
python-distro 1.9.0-2
python-docopt 0.6.2-13
python-docutils 1:0.21.2-1
python-filelock 3.13.3-2
python-gobject 3.48.2-1
python-idna 3.6-2
python-keyutils 0.6-10
python-packaging 23.2-3
python-pillow 10.3.0-2
python-pip 24.0-2
python-pipx 1.5.0-2
python-platformdirs 4.2.0-3
python-psutil 5.9.8-4
python-pycparser 2.22-2
python-requests 2.31.0-3
python-urllib3 1.26.18-3
python-userpath 1.9.2-2
python-virtualenv 20.25.0-3
python-wheel 0.43.0-4
python-xcffib 1.4.0-2
python-yaml 6.0.1-3
qt5-base 5.15.13+kde+r145-1
qt5-svg 5.15.13+kde+r6-1
qt5-translations 5.15.13-1
